date,year,month_name,day,MW,T_mean,T_max,T_min,V_mean_wind,hPa_mean
2017-01-01,2017,ENERO,1,1472,30,35,28,9.5,1006.9
2017-01-02,2017,ENERO,2,1779,26,31,21,21.9,1012
2017-01-03,2017,ENERO,3,1889,26,28,22,16.9,1004
2017-01-04,2017,ENERO,4,1841,26,31,23,7.4,1003.9
2017-01-05,2017,ENERO,5,1771,25,28,20,8,1010
2017-01-06,2017,ENERO,6,1801,23,29,19,20.3,1015.6
2017-01-07,2017,ENERO,7,1863,28,32,24,17.9,1010
2017-01-08,2017,ENERO,8,1541,25,30,22,18.3,1008.1
2017-01-09,2017,ENERO,9,1754,25,29,20,12.4,1003.5
2017-01-10,2017,ENERO,10,1709,22,26,18,9.7,1010.1
2017-01-11,2017,ENERO,11,1788,25,29,21,14.1,1013.6
2017-01-12,2017,ENERO,12,1932,27,31,22,11.7,1011.7
2017-01-13,2017,ENERO,13,1936,27,30,24,19.4,1007
2017-01-14,2017,ENERO,14,1744,23,27,20,21.9,1010.8
2017-01-15,2017,ENERO,15,1522,24,25,21,20.3,1008
2017-01-16,2017,ENERO,16,1801,24,27,21,28.1,1006.2
2017-01-17,2017,ENERO,17,1953,26,33,23,10.6,1004.7
2017-01-18,2017,ENERO,18,1920,26,31,22,17.3,1009.2
2017-01-19,2017,ENERO,19,2008,27,31,24,16.7,1014
2017-01-20,2017,ENERO,20,2084,28,30,25,16.2,1016.4
2017-01-21,2017,ENERO,21,2018,28,31,25,15.5,1015.9
2017-01-22,2017,ENERO,22,1752,27,29,25,15.9,1013.9
2017-01-23,2017,ENERO,23,1934,27,29,25,19.6,1013.8
2017-01-24,2017,ENERO,24,1897,27,32,20,15.9,1007.8
2017-01-25,2017,ENERO,25,1708,22,25,18,16.2,1013
2017-01-26,2017,ENERO,26,1682,19,24,14,14.3,1019.9
2017-01-27,2017,ENERO,27,1727,21,24,17,9.6,1020.3
2017-01-28,2017,ENERO,28,1728,25,29,22,14.4,1017.4
